company_name,count,selected_datetime,polygon
lyft,42,2019-08-10 17:00:08,"POLYGON ((-86.79007195993378 36.15046414829094, -86.7721480400662 36.15046414829094, -86.7721480400662 36.16493585170907, -86.79007195993378 36.16493585170907, -86.79007195993378 36.15046414829094))"
spin,146,2019-08-10 17:00:08,"POLYGON ((-86.79007195993378 36.15046414829094, -86.7721480400662 36.15046414829094, -86.7721480400662 36.16493585170907, -86.79007195993378 36.16493585170907, -86.79007195993378 36.15046414829094))"
uber,92,2019-08-10 17:00:08,"POLYGON ((-86.79007195993378 36.15046414829094, -86.7721480400662 36.15046414829094, -86.7721480400662 36.16493585170907, -86.79007195993378 36.16493585170907, -86.79007195993378 36.15046414829094))"
bird,329,2019-08-10 17:00:08,"POLYGON ((-86.78719221484073 36.15269414829095, -86.76926778515926 36.15269414829095, -86.76926778515926 36.16716585170906, -86.78719221484073 36.16716585170906, -86.78719221484073 36.15269414829095))"
lime,40,2019-08-10 17:00:08,"POLYGON ((-86.78719221484073 36.15269414829095, -86.76926778515926 36.15269414829095, -86.76926778515926 36.16716585170906, -86.78719221484073 36.16716585170906, -86.78719221484073 36.15269414829095))"
lyft,40,2019-08-10 17:00:08,"POLYGON ((-86.78719221484073 36.15269414829095, -86.76926778515926 36.15269414829095, -86.76926778515926 36.16716585170906, -86.78719221484073 36.16716585170906, -86.78719221484073 36.15269414829095))"
spin,139,2019-08-10 17:00:08,"POLYGON ((-86.78719221484073 36.15269414829095, -86.76926778515926 36.15269414829095, -86.76926778515926 36.16716585170906, -86.78719221484073 36.16716585170906, -86.78719221484073 36.15269414829095))"
uber,86,2019-08-10 17:00:08,"POLYGON ((-86.78719221484073 36.15269414829095, -86.76926778515926 36.15269414829095, -86.76926778515926 36.16716585170906, -86.78719221484073 36.16716585170906, -86.78719221484073 36.15269414829095))"
bird,336,2019-08-10 17:00:08,"POLYGON ((-86.78915692850103 36.15018914829094, -86.77123307149898 36.15018914829094, -86.77123307149898 36.16466085170906, -86.78915692850103 36.16466085170906, -86.78915692850103 36.15018914829094))"
lime,52,2019-08-10 17:00:08,"POLYGON ((-86.78915692850103 36.15018914829094, -86.77123307149898 36.15018914829094, -86.77123307149898 36.16466085170906, -86.78915692850103 36.16466085170906, -86.78915692850103 36.15018914829094))"
lyft,40,2019-08-10 17:00:08,"POLYGON ((-86.78915692850103 36.15018914829094, -86.77123307149898 36.15018914829094, -86.77123307149898 36.16466085170906, -86.78915692850103 36.16466085170906, -86.78915692850103 36.15018914829094))"
spin,146,2019-08-10 17:00:08,"POLYGON ((-86.78915692850103 36.15018914829094, -86.77123307149898 36.15018914829094, -86.77123307149898 36.16466085170906, -86.78915692850103 36.16466085170906, -86.78915692850103 36.15018914829094))"
uber,91,2019-08-10 17:00:08,"POLYGON ((-86.78915692850103 36.15018914829094, -86.77123307149898 36.15018914829094, -86.77123307149898 36.16466085170906, -86.78915692850103 36.16466085170906, -86.78915692850103 36.15018914829094))"
bird,313,2019-08-10 17:00:08,"POLYGON ((-86.78436246291615 36.15486414829095, -86.76643753708385 36.15486414829095, -86.76643753708385 36.16933585170907, -86.78436246291615 36.16933585170907, -86.78436246291615 36.15486414829095))"
lime,32,2019-08-10 17:00:08,"POLYGON ((-86.78436246291615 36.15486414829095, -86.76643753708385 36.15486414829095, -86.76643753708385 36.16933585170907, -86.78436246291615 36.16933585170907, -86.78436246291615 36.15486414829095))"
lyft,33,2019-08-10 17:00:08,"POLYGON ((-86.78436246291615 36.15486414829095, -86.76643753708385 36.15486414829095, -86.76643753708385 36.16933585170907, -86.78436246291615 36.16933585170907, -86.78436246291615 36.15486414829095))"
spin,122,2019-08-10 17:00:08,"POLYGON ((-86.78436246291615 36.15486414829095, -86.76643753708385 36.15486414829095, -86.76643753708385 36.16933585170907, -86.78436246291615 36.16933585170907, -86.78436246291615 36.15486414829095))"
uber,82,2019-08-10 17:00:08,"POLYGON ((-86.78436246291615 36.15486414829095, -86.76643753708385 36.15486414829095, -86.76643753708385 36.16933585170907, -86.78436246291615 36.16933585170907, -86.78436246291615 36.15486414829095))"
bird,321,2019-08-11 13:00:08,"POLYGON ((-86.78641011527509 36.15182314829094, -86.76848588472492 36.15182314829094, -86.76848588472492 36.16629485170906, -86.78641011527509 36.16629485170906, -86.78641011527509 36.15182314829094))"
lime,48,2019-08-11 13:00:08,"POLYGON ((-86.78641011527509 36.15182314829094, -86.76848588472492 36.15182314829094, -86.76848588472492 36.16629485170906, -86.78641011527509 36.16629485170906, -86.78641011527509 36.15182314829094))"
lyft,63,2019-08-11 13:00:08,"POLYGON ((-86.78641011527509 36.15182314829094, -86.76848588472492 36.15182314829094, -86.76848588472492 36.16629485170906, -86.78641011527509 36.16629485170906, -86.78641011527509 36.15182314829094))"
spin,120,2019-08-11 13:00:08,"POLYGON ((-86.78641011527509 36.15182314829094, -86.76848588472492 36.15182314829094, -86.76848588472492 36.16629485170906, -86.78641011527509 36.16629485170906, -86.78641011527509 36.15182314829094))"
uber,87,2019-08-11 13:00:08,"POLYGON ((-86.78641011527509 36.15182314829094, -86.76848588472492 36.15182314829094, -86.76848588472492 36.16629485170906, -86.78641011527509 36.16629485170906, -86.78641011527509 36.15182314829094))"
bird,325,2019-08-11 15:00:08,"POLYGON ((-86.78646209709997 36.15166414829094, -86.76853790290005 36.15166414829094, -86.76853790290005 36.16613585170906, -86.78646209709997 36.16613585170906, -86.78646209709997 36.15166414829094))"
lime,52,2019-08-11 15:00:08,"POLYGON ((-86.78646209709997 36.15166414829094, -86.76853790290005 36.15166414829094, -86.76853790290005 36.16613585170906, -86.78646209709997 36.16613585170906, -86.78646209709997 36.15166414829094))"
lyft,47,2019-08-11 15:00:08,"POLYGON ((-86.78646209709997 36.15166414829094, -86.76853790290005 36.15166414829094, -86.76853790290005 36.16613585170906, -86.78646209709997 36.16613585170906, -86.78646209709997 36.15166414829094))"
spin,112,2019-08-11 15:00:08,"POLYGON ((-86.78646209709997 36.15166414829094, -86.76853790290005 36.15166414829094, -86.76853790290005 36.16613585170906, -86.78646209709997 36.16613585170906, -86.78646209709997 36.15166414829094))"
uber,84,2019-08-11 15:00:08,"POLYGON ((-86.78646209709997 36.15166414829094, -86.76853790290005 36.15166414829094, -86.76853790290005 36.16613585170906, -86.78646209709997 36.16613585170906, -86.78646209709997 36.15166414829094))"
bird,323,2019-08-11 15:00:08,"POLYGON ((-86.78685919392132 36.15251114829094, -86.76893480607869 36.15251114829094, -86.76893480607869 36.16698285170906, -86.78685919392132 36.16698285170906, -86.78685919392132 36.15251114829094))"
lime,47,2019-08-11 15:00:08,"POLYGON ((-86.78685919392132 36.15251114829094, -86.76893480607869 36.15251114829094, -86.76893480607869 36.16698285170906, -86.78685919392132 36.16698285170906, -86.78685919392132 36.15251114829094))"
lyft,49,2019-08-11 15:00:08,"POLYGON ((-86.78685919392132 36.15251114829094, -86.76893480607869 36.15251114829094, -86.76893480607869 36.16698285170906, -86.78685919392132 36.16698285170906, -86.78685919392132 36.15251114829094))"
spin,113,2019-08-11 15:00:08,"POLYGON ((-86.78685919392132 36.15251114829094, -86.76893480607869 36.15251114829094, -86.76893480607869 36.16698285170906, -86.78685919392132 36.16698285170906, -86.78685919392132 36.15251114829094))"
uber,79,2019-08-11 15:00:08,"POLYGON ((-86.78685919392132 36.15251114829094, -86.76893480607869 36.15251114829094, -86.76893480607869 36.16698285170906, -86.78685919392132 36.16698285170906, -86.78685919392132 36.15251114829094))"
bird,306,2019-08-11 15:00:08,"POLYGON ((-86.78397005789247 36.15132114829094, -86.76604594210752 36.15132114829094, -86.76604594210752 36.16579285170907, -86.78397005789247 36.16579285170907, -86.78397005789247 36.15132114829094))"
lime,48,2019-08-11 15:00:08,"POLYGON ((-86.78397005789247 36.15132114829094, -86.76604594210752 36.15132114829094, -86.76604594210752 36.16579285170907, -86.78397005789247 36.16579285170907, -86.78397005789247 36.15132114829094))"
lyft,44,2019-08-11 15:00:08,"POLYGON ((-86.78397005789247 36.15132114829094, -86.76604594210752 36.15132114829094, -86.76604594210752 36.16579285170907, -86.78397005789247 36.16579285170907, -86.78397005789247 36.15132114829094))"
spin,103,2019-08-11 15:00:08,"POLYGON ((-86.78397005789247 36.15132114829094, -86.76604594210752 36.15132114829094, -86.76604594210752 36.16579285170907, -86.78397005789247 36.16579285170907, -86.78397005789247 36.15132114829094))"
uber,68,2019-08-11 15:00:08,"POLYGON ((-86.78397005789247 36.15132114829094, -86.76604594210752 36.15132114829094, -86.76604594210752 36.16579285170907, -86.78397005789247 36.16579285170907, -86.78397005789247 36.15132114829094))"
bird,311,2019-08-11 16:00:08,"POLYGON ((-86.78983868689281 36.15682314829093, -86.77191331310722 36.15682314829093, -86.77191331310722 36.17129485170907, -86.78983868689281 36.17129485170907, -86.78983868689281 36.15682314829093))"
